Task ID, Time Spent (Hrs), User ID, End Date/Time, Start Date/Time
21, 0.099, Johan, 2009-05-21 13:07:53, 2009-05-21 13:01:57
23, 0.066, Johan, 2009-05-21 13:12:32, 2009-05-21 13:08:33
21, 0.274, Johan, 2009-05-21 13:29:00, 2009-05-21 13:12:33
33, 0.006, Johan, 2009-05-21 13:33:15, 2009-05-21 13:32:52
34, 0.044, Johan, 2009-05-21 13:36:06, 2009-05-21 13:33:27
31, 0.057, Johan, 2009-05-21 13:39:38, 2009-05-21 13:36:14
36, 0.011, Johan, 2009-05-21 13:40:25, 2009-05-21 13:39:45
37, 0.073, Johan, 2009-05-21 13:45:00, 2009-05-21 13:40:36
39, 0.050, Johan, 2009-05-21 13:48:26, 2009-05-21 13:45:27
41, 0.062, Johan, 2009-05-21 13:52:59, 2009-05-21 13:49:16
42, 0.208, Johan, 2009-05-21 14:05:49, 2009-05-21 13:53:19
45, 0.014, Johan, 2009-05-21 14:06:59, 2009-05-21 14:06:08
42, 0.028, Johan, 2009-05-21 14:08:45, 2009-05-21 14:07:02
31, 0.043, Johan, 2009-05-21 14:11:21, 2009-05-21 14:08:48
42, 0.080, Johan, 2009-05-21 14:16:11, 2009-05-21 14:11:22
46, 0.038, Johan, 2009-05-21 14:18:35, 2009-05-21 14:16:17
34, 0.082, Johan, 2009-05-21 14:25:35, 2009-05-21 14:20:40
48, 0.007, Johan, 2009-05-21 14:26:02, 2009-05-21 14:25:35
49, 0.045, Johan, 2009-05-21 14:28:46, 2009-05-21 14:26:05
50, 0.216, Johan, 2009-05-21 14:42:06, 2009-05-21 14:29:10
51, 0.051, Johan, 2009-05-21 14:47:55, 2009-05-21 14:44:53
39, 0.165, Johan, 2009-05-21 15:03:49, 2009-05-21 14:53:56
51, 0.074, Johan, 2009-05-21 15:11:16, 2009-05-21 15:06:48
29, 0.002, Johan, 2009-05-21 15:11:45, 2009-05-21 15:11:39
52, 0.155, Johan, 2009-05-21 15:21:17, 2009-05-21 15:12:00
54, 0.065, Johan, 2009-05-21 15:27:21, 2009-05-21 15:23:25
55, 0.175, Johan, 2009-05-21 15:38:15, 2009-05-21 15:27:45
56, 0.137, Johan, 2009-05-21 15:46:46, 2009-05-21 15:38:34
54, 0.074, Johan, 2009-05-21 15:51:21, 2009-05-21 15:46:55
56, 0.058, Johan, 2009-05-21 15:54:52, 2009-05-21 15:51:23
54, 0.047, Johan, 2009-05-21 15:57:47, 2009-05-21 15:54:57
55, 0.018, Johan, 2009-05-21 15:58:52, 2009-05-21 15:57:48
54, 0.010, Johan, 2009-05-21 15:59:31, 2009-05-21 15:58:55
52, 0.083, Johan, 2009-05-21 16:04:37, 2009-05-21 15:59:38
57, 0.001, Johan, 2009-05-21 16:08:45, 2009-05-21 16:08:43
57, 0.001, Johan, 2009-05-21 16:09:00, 2009-05-21 16:08:56
52, 0.084, Johan, 2009-05-21 16:14:11, 2009-05-21 16:09:10
29, 0.210, Johan, 2009-05-21 16:27:08, 2009-05-21 16:14:33
60, 0.318, Johan, 2009-05-21 16:47:48, 2009-05-21 16:28:43
61, 0.153, Johan, 2009-05-21 16:57:13, 2009-05-21 16:48:01
60, 0.196, Johan, 2009-05-21 17:09:03, 2009-05-21 16:57:17
62, 0.028, Johan, 2009-05-21 17:11:01, 2009-05-21 17:09:21
63, 0.407, Johan, 2009-05-21 17:36:29, 2009-05-21 17:12:03
64, 0.005, Johan, 2009-05-21 17:37:11, 2009-05-21 17:36:53
64, 0.036, Johan, 2009-05-21 17:39:27, 2009-05-21 17:37:17
34, 0.004, Johan, 2009-05-21 21:11:55, 2009-05-21 21:11:41
55, 0.335, Johan, 2009-05-21 21:32:02, 2009-05-21 21:11:56
34, 0.002, Johan, 2009-05-21 21:32:54, 2009-05-21 21:32:46
34, 0.017, Johan, 2009-05-21 21:34:00, 2009-05-21 21:32:58
69, 0.017, cogo, 2009-05-22 0:40:22, 2009-05-22 0:39:21
69, 0.133, cogo, 2009-05-22 0:48:54, 2009-05-22 0:40:55
69, 0.498, cogo, 2009-05-22 1:28:42, 2009-05-22 0:58:50
62, 0.256, cogo, 2009-05-22 1:44:12, 2009-05-22 1:28:52
71, 0.000, cogo, 2009-05-22 1:47:09, 2009-05-22 1:47:08
66, 0.012, Johan, 2009-05-22 12:05:56, 2009-05-22 12:05:13
21, 0.243, Johan, 2009-05-22 12:20:38, 2009-05-22 12:06:02
70, 0.086, Johan, 2009-05-22 12:26:02, 2009-05-22 12:20:52
66, 0.032, Johan, 2009-05-22 12:28:25, 2009-05-22 12:26:29
67, 0.009, Johan, 2009-05-22 12:29:37, 2009-05-22 12:29:05
32, 0.121, Johan, 2009-05-22 12:37:14, 2009-05-22 12:29:57
24, 0.046, Johan, 2009-05-22 12:41:51, 2009-05-22 12:39:06
73, 0.010, Johan, 2009-05-22 12:43:39, 2009-05-22 12:43:02
17, 0.040, Johan, 2009-05-22 12:46:13, 2009-05-22 12:43:51
20, 0.138, Johan, 2009-05-22 12:54:33, 2009-05-22 12:46:14
76, 0.348, Johan, 2009-05-22 13:31:41, 2009-05-22 13:10:48
76, 0.120, Johan, 2009-05-22 13:41:25, 2009-05-22 13:34:11
18, 0.000, Johan, 2009-05-22 13:54:45, 2009-05-22 13:54:45
78, 0.033, Johan, 2009-05-22 14:00:42, 2009-05-22 13:58:44
79, 0.502, Johan, 2009-05-22 14:31:05, 2009-05-22 14:00:58
39, 0.031, Johan, 2009-05-22 14:36:42, 2009-05-22 14:34:52
80, 0.053, Johan, 2009-05-22 14:41:30, 2009-05-22 14:38:18
81, 0.296, Johan, 2009-05-22 14:59:26, 2009-05-22 14:41:39
3, 0.592, Johan, 2009-05-22 15:39:34, 2009-05-22 15:04:02
37, 0.140, Johan, 2009-05-22 15:52:56, 2009-05-22 15:44:34
3, 0.024, Johan, 2009-05-22 16:11:48, 2009-05-22 16:10:21
13, 0.054, Johan, 2009-05-22 16:19:29, 2009-05-22 16:16:14
74, 0.732, Johan, 2009-05-22 17:04:37, 2009-05-22 16:20:43
86, 0.198, Johan, 2009-05-22 17:24:05, 2009-05-22 17:12:11
92, 0.180, Johan, 2009-05-22 17:36:06, 2009-05-22 17:25:17
94, 0.083, Johan, 2009-05-22 21:07:27, 2009-05-22 21:02:30
65, 0.002, cogo, 2009-05-22 23:47:19, 2009-05-22 23:47:13
95, 0.000, cogo, 2009-05-23 17:36:10, 2009-05-23 17:36:09
95, 0.035, cogo, 2009-05-23 17:38:23, 2009-05-23 17:36:18
95, 0.001, cogo, 2009-05-23 17:56:15, 2009-05-23 17:56:13
95, 0.142, cogo, 2009-05-23 20:20:40, 2009-05-23 20:12:10
95, 0.132, cogo, 2009-05-23 20:28:47, 2009-05-23 20:20:52
107, 0.455, cogo, 2009-05-23 21:32:27, 2009-05-23 21:05:10
109, 0.008, cogo, 2009-05-24 21:53:16, 2009-05-24 21:52:47
110, 0.036, cogo, 2009-05-24 21:55:27, 2009-05-24 21:53:16
109, 0.046, cogo, 2009-05-24 21:58:12, 2009-05-24 21:55:28
110, 0.009, cogo, 2009-05-24 21:58:58, 2009-05-24 21:58:24
109, 0.012, cogo, 2009-05-24 22:02:25, 2009-05-24 22:01:41
111, 0.320, cogo, 2009-05-24 22:21:42, 2009-05-24 22:02:32
112, 0.255, cogo, 2009-05-24 22:37:11, 2009-05-24 22:21:52
113, 0.001, cogo, 2009-05-24 23:09:06, 2009-05-24 23:09:01
113, 0.843, cogo, 2009-05-24 23:59:45, 2009-05-24 23:09:11
113, 0.197, cogo, 2009-05-25 0:55:44, 2009-05-25 0:43:53
114, 0.452, cogo, 2009-05-25 1:23:22, 2009-05-25 0:56:15
115, 0.245, cogo, 2009-05-25 1:44:33, 2009-05-25 1:29:52
116, 0.291, cogo, 2009-05-25 2:29:53, 2009-05-25 2:12:25
117, 0.721, cogo, 2009-05-25 3:13:24, 2009-05-25 2:30:08
124, 0.711, Johan, 2009-05-25 12:45:31, 2009-05-25 12:02:52
116, 0.064, Johan, 2009-05-25 12:49:23, 2009-05-25 12:45:31
116, 0.319, Johan, 2009-05-25 16:49:27, 2009-05-25 16:30:20
95, 0.061, Johan, 2009-05-25 17:07:47, 2009-05-25 17:04:09
132, 0.002, Johan, 2009-05-25 17:38:08, 2009-05-25 17:38:01
137, 0.001, Johan, 2009-05-25 19:17:45, 2009-05-25 19:17:43
137, 0.359, Johan, 2009-05-25 19:39:22, 2009-05-25 19:17:48
139, 0.235, Johan, 2009-05-25 20:19:39, 2009-05-25 20:05:35
139, 0.049, Johan, 2009-05-25 20:39:18, 2009-05-25 20:36:21
141, 0.000, Johan, 2009-05-26 12:51:25, 2009-05-26 12:51:24
141, 0.157, Johan, 2009-05-26 13:00:56, 2009-05-26 12:51:30
142, 0.327, Johan, 2009-05-26 13:20:47, 2009-05-26 13:01:09
143, 0.120, Johan, 2009-05-26 13:28:05, 2009-05-26 13:20:54
143, 4.152, Johan, 2009-05-26 17:37:46, 2009-05-26 13:28:38
143, 0.001, Johan, 2009-05-26 21:21:46, 2009-05-26 21:21:44
145, 0.654, Johan, 2009-05-26 22:01:13, 2009-05-26 21:21:58
145, 0.001, cogo, 2009-05-27 0:41:37, 2009-05-27 0:41:35
147, 0.000, cogo, 2009-05-27 0:42:46, 2009-05-27 0:42:45
148, 1.155, cogo, 2009-05-27 1:52:26, 2009-05-27 0:43:09
151, 0.304, Johan, 2009-05-27 16:28:32, 2009-05-27 16:10:19
152, 0.891, Johan, 2009-05-27 17:22:37, 2009-05-27 16:29:10
153, 0.001, Johan, 2009-05-27 18:37:50, 2009-05-27 18:37:48
153, 2.815, Johan, 2009-05-27 21:26:50, 2009-05-27 18:37:55
154, 1.098, cogo, 2009-05-28 0:48:27, 2009-05-27 23:42:33
12, 0.003, Johan, 2009-05-28 12:15:56, 2009-05-28 12:15:44
157, 0.451, Johan, 2009-05-28 12:43:34, 2009-05-28 12:16:29
95, 1.993, Johan, 2009-05-28 14:56:37, 2009-05-28 12:57:03
160, 0.002, Johan, 2009-05-28 14:59:13, 2009-05-28 14:59:05
10, 0.000, Johan, 2009-05-28 14:59:14, 2009-05-28 14:59:13
44, 0.000, Johan, 2009-05-28 14:59:15, 2009-05-28 14:59:14
163, 0.001, Johan, 2009-05-28 15:44:38, 2009-05-28 15:44:36
163, 0.263, Johan, 2009-05-28 16:00:30, 2009-05-28 15:44:42
164, 0.543, Johan, 2009-05-28 16:33:20, 2009-05-28 16:00:45
165, 1.102, Johan, 2009-05-28 17:40:13, 2009-05-28 16:34:05
165, 0.018, Johan, 2009-05-28 21:04:51, 2009-05-28 21:03:45
167, 0.681, Johan, 2009-05-28 21:57:27, 2009-05-28 21:16:34
177, 0.499, cogo, 2009-05-29 0:03:18, 2009-05-28 23:33:21
180, 0.901, cogo, 2009-05-29 6:45:15, 2009-05-29 5:51:13
52, 0.694, cogo, 2009-05-29 7:35:29, 2009-05-29 6:53:50
74, 0.113, cogo, 2009-05-29 8:58:19, 2009-05-29 8:51:31
184, 2.039, Johan, 2009-05-29 15:02:43, 2009-05-29 13:00:21
185, 4.796, Johan, 2009-05-29 21:02:40, 2009-05-29 16:14:54
34, 0.102, cogo, 2009-05-30 11:39:13, 2009-05-30 11:33:04
187, 1.624, cogo, 2009-05-30 13:16:44, 2009-05-30 11:39:18
191, 0.033, cogo, 2009-05-30 13:19:06, 2009-05-30 13:17:07
191, 0.367, cogo, 2009-05-30 13:47:26, 2009-05-30 13:25:25
192, 0.056, cogo, 2009-05-30 13:51:20, 2009-05-30 13:47:59
193, 0.121, cogo, 2009-05-30 13:58:35, 2009-05-30 13:51:20
165, 0.001, cogo, 2009-05-30 14:04:01, 2009-05-30 14:03:58
194, 0.000, cogo, 2009-05-30 14:04:02, 2009-05-30 14:04:01
192, 0.090, cogo, 2009-05-30 14:09:38, 2009-05-30 14:04:14
195, 0.001, cogo, 2009-05-31 10:50:32, 2009-05-31 10:50:30
196, 0.691, cogo, 2009-05-31 11:34:24, 2009-05-31 10:52:57
197, 0.431, cogo, 2009-05-31 12:26:27, 2009-05-31 12:00:34
197, 0.000, cogo, 2009-05-31 16:54:10, 2009-05-31 16:54:09
197, 0.148, cogo, 2009-05-31 17:03:09, 2009-05-31 16:54:15
34, 0.174, cogo, 2009-05-31 17:14:08, 2009-05-31 17:03:42
200, 0.001, cogo, 2009-05-31 17:53:59, 2009-05-31 17:53:56
202, 0.402, cogo, 2009-05-31 18:18:08, 2009-05-31 17:54:00
202, 0.000, cogo, 2009-05-31 18:48:08, 2009-05-31 18:48:06
200, 0.143, cogo, 2009-05-31 18:57:27, 2009-05-31 18:48:54
197, 0.002, cogo, 2009-05-31 18:58:52, 2009-05-31 18:58:43
206, 0.088, cogo, 2009-05-31 19:04:19, 2009-05-31 18:59:01
207, 0.488, cogo, 2009-05-31 19:33:35, 2009-05-31 19:04:18
205, 0.100, cogo, 2009-05-31 19:47:17, 2009-05-31 19:41:18
205, 0.280, Johan, 2009-06-01 12:46:43, 2009-06-01 12:29:57
209, 0.000, Johan, 2009-06-01 16:58:24, 2009-06-01 16:58:23
209, 0.474, Johan, 2009-06-01 17:28:46, 2009-06-01 17:00:19
210, 0.001, Johan, 2009-06-01 17:29:19, 2009-06-01 17:29:15
205, 0.056, Johan, 2009-06-01 17:52:06, 2009-06-01 17:48:46
211, 0.001, Johan, 2009-06-01 18:19:04, 2009-06-01 18:19:01
26, 0.228, Johan, 2009-06-01 19:00:56, 2009-06-01 18:47:15
26, 1.540, Johan, 2009-06-01 20:52:10, 2009-06-01 19:19:46
139, 0.053, Johan, 2009-06-01 20:57:58, 2009-06-01 20:54:46
214, 0.368, Johan, 2009-06-02 13:12:37, 2009-06-02 12:50:32
60, 0.000, Johan, 2009-06-02 17:20:54, 2009-06-02 17:20:54
65, 0.361, Johan, 2009-06-02 17:42:57, 2009-06-02 17:21:16
218, 0.518, Johan, 2009-06-03 16:48:44, 2009-06-03 16:17:39
220, 0.281, Johan, 2009-06-04 13:10:27, 2009-06-04 12:53:36
219, 0.086, Johan, 2009-06-04 13:15:54, 2009-06-04 13:10:45
219, 0.029, Johan, 2009-06-04 13:17:41, 2009-06-04 13:15:55
221, 0.280, Johan, 2009-06-04 13:52:52, 2009-06-04 13:36:05
219, 0.560, Johan, 2009-06-04 14:26:27, 2009-06-04 13:52:52
221, 0.217, Johan, 2009-06-04 15:31:38, 2009-06-04 15:18:36
227, 0.000, Johan, 2009-06-04 15:31:39, 2009-06-04 15:31:38
228, 0.000, Johan, 2009-06-04 15:52:55, 2009-06-04 15:52:54
228, 1.638, Johan, 2009-06-04 17:31:16, 2009-06-04 15:52:58
225, 0.104, Johan, 2009-06-04 17:38:00, 2009-06-04 17:31:45
225, 1.156, Johan, 2009-06-04 18:54:44, 2009-06-04 17:45:22
65, 0.772, Johan, 2009-06-04 19:41:11, 2009-06-04 18:54:51
233, 0.000, Johan, 2009-06-05 12:38:49, 2009-06-05 12:38:48
233, 1.724, Johan, 2009-06-05 14:22:22, 2009-06-05 12:38:56
233, 0.385, cogo, 2009-06-06 22:48:59, 2009-06-06 22:25:54
233, 0.415, cogo, 2009-06-06 23:43:05, 2009-06-06 23:18:10
229, 0.179, cogo, 2009-06-06 23:57:12, 2009-06-06 23:46:27
229, 0.023, cogo, 2009-06-07 0:02:57, 2009-06-07 0:01:35
240, 0.000, cogo, 2009-06-07 15:54:58, 2009-06-07 15:54:57
241, 1.137, cogo, 2009-06-07 17:04:46, 2009-06-07 15:56:31
244, 0.000, cogo, 2009-06-07 21:37:31, 2009-06-07 21:37:30
241, 0.562, cogo, 2009-06-07 22:11:46, 2009-06-07 21:38:04
247, 0.153, cogo, 2009-06-07 22:44:03, 2009-06-07 22:34:51
248, 0.381, cogo, 2009-06-07 23:06:54, 2009-06-07 22:44:03
243, 0.135, cogo, 2009-06-07 23:15:15, 2009-06-07 23:07:10
239, 0.407, cogo, 2009-06-08 1:18:46, 2009-06-08 0:54:22
231, 0.441, cogo, 2009-06-08 1:45:25, 2009-06-08 1:18:56
231, 0.000, Johan, 2009-06-08 16:53:37, 2009-06-08 16:53:36
254, 0.000, Johan, 2009-06-08 16:53:51, 2009-06-08 16:53:50
254, 4.239, Johan, 2009-06-08 21:08:16, 2009-06-08 16:53:55
254, 0.000, Johan, 2009-06-08 21:08:34, 2009-06-08 21:08:33
231, 0.001, Johan, 2009-06-09 12:03:48, 2009-06-09 12:03:43
255, 0.000, Johan, 2009-06-09 12:52:39, 2009-06-09 12:52:38
257, 4.749, Johan, 2009-06-09 17:38:20, 2009-06-09 12:53:25
259, 0.000, Johan, 2009-06-10 15:52:38, 2009-06-10 15:52:37
259, 1.889, Johan, 2009-06-10 17:46:00, 2009-06-10 15:52:41
231, 0.117, Johan, 2009-06-10 18:32:10, 2009-06-10 18:25:07
262, 0.000, Johan, 2009-06-11 13:39:13, 2009-06-11 13:39:12
262, 0.862, Johan, 2009-06-11 14:37:34, 2009-06-11 13:45:52
